date,plotid,treat,climate,subplot,cotyledon or unk,ach mil,agr eup,cen jac,cre bie,cre cap,cir sp,dia car,dau car,fal vul,fall conv,gal alb,gal ver,ger sp,hyp rad,kna arv,larn sp,leu vul,lot cor,lyc sp,med sp,pim sax,pla lan,pla med,pru vul,sca och,sec var,sil lat,sil vul,ste med,tri sp,ver sp,vic cra,grass,cer hol,ran arc,pic hic,triangle seedling,,
29/04/2020,70,L,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/04/2020,71,EL,future,O,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/04/2020,71,EL,future,I,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
29/04/2020,72,E,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/04/2020,72,E,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,
29/04/2020,73,C,ambient,O,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,10,,,,,
29/04/2020,73,C,ambient,I,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,4,,,,,,21,,,,,
29/04/2020,74,L,ambient,O,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,
29/04/2020,74,L,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
29/04/2020,75,E,ambient,O,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/04/2020,75,E,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/04/2020,76,EL,ambient,O,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,
29/04/2020,76,EL,ambient,I,1,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
29/04/2020,77,F,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/04/2020,77,F,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
29/04/2020,78,FL,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lamp was partly not on --> replaced with intact lamp,
29/04/2020,78,FL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lamp was partly not on --> replaced with intact lamp,
29/04/2020,79,EFL,ambient,O,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
29/04/2020,79,EFL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
29/04/2020,80,EF,ambient,O,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/04/2020,80,EF,ambient,I,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
