plotid,treat,climate,subplot,cotyledon or unk,ach mil,agr eup,cen jac,cre bie,cre cap,cir sp,dia car,dau car,fal vul,fall conv,gal alb,gal ver,ger sp,hyp rad,kna arv,larn sp,leu vul,lot cor,lyc sp,med sp,pim sax,pla lan,pla med,pru vul,sca och,sec var,sil lat,sil vul,ste med,tri sp,ver sp,vic cra,grass,cer hol,ran arc,pic hic,triangle seedling
31,EF,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,EF,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
32,EFL,future,O,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,
32,EFL,future,I,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,F,ambient,O,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,
33,F,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,FL,ambient,O,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
34,FL,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,EF,ambient,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,EF,ambient,I,2,,,,,,,,,,,7,,,,,,,,,,,,,,,3,,,,,,,,,,,
36,EFL,ambient,O,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
36,EFL,ambient,I,,,,,,,,,,,,9,,,,,,,,,,,,,,,2,,,,,,,,,,,
37,L,ambient,O,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,1,,,
37,L,ambient,I,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
38,C,ambient,O,1,,,,,,,,,,,11,,,,2,,,,,,,,,,1,,2,,,,,,,,,,
38,C,ambient,I,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
39,E,ambient,O,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
39,E,ambient,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,EL,ambient,O,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
40,EL,ambient,I,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
41,EF,future,O,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
