species,individual,leaf,biomass.mg,size.px,size.mm2,comments
STAREC,1,1,3.09,16406,119.2296512,
STAREC,1,2,1.69,12829,93.23401163,
STAREC,1,3,2.23,10505,76.34447674,
STAREC,2,1,2.55,17880,129.9418605,
STAREC,2,2,2.11,14339,104.2078488,
STAREC,2,3,1.76,12492,90.78488372,
STAREC,3,1,3.18,19777,143.7281977,
STAREC,3,2,4.43,23939,173.9752907,
STAREC,3,3,2.80,15052,109.3895349,
STAREC,4,1,5.25,30644,222.7034884,
STAREC,4,2,4.44,27599,200.5741279,
STAREC,4,3,4.02,19696,143.1395349,
STAREC,5,1,2.07,20530,149.2005814,
STAREC,5,2,2.47,20565,149.4549419,
STAREC,5,3,1.91,12150,88.2994186,
STAREC,6,1,4.29,27919,202.8997093,
STAREC,6,2,3.33,23338,169.6075581,
STAREC,6,3,5.47,25676,186.5988372,
STAREC,7,1,5.56,34553,251.1119186,
STAREC,7,2,4.27,28801,209.309593,
STAREC,7,3,3.95,20851,151.5334302,
STAREC,8,1,4.06,28129,204.4258721,
STAREC,8,2,4.77,27519,199.9927326,
STAREC,8,3,5.69,31632,229.8837209,
STAREC,9,1,1.79,21309,154.8619186,
STAREC,9,2,2.91,27456,199.5348837,
STAREC,9,3,3.34,22633,164.4840116,
STAREC,10,1,6.34,34089,247.7398256,
STAREC,10,2,7.18,38319,278.4811047,
STAREC,10,3,3.98,19890,144.5494186,
KNAARV,1,1,8.72,55585,403.9607558,
KNAARV,1,2,8.96,58777,427.1584302,
KNAARV,1,3,4.41,29251,212.5799419,
KNAARV,2,1,7.84,42544,309.1860465,
KNAARV,2,2,8.00,44891,326.2427326,
,2,3,,,0,
,3,1,,40915,297.3473837,center-right-left
,3,2,,43117,313.3502907,
,3,3,,31985,232.4491279,
,4,1,,41072,298.4883721,
,4,2,,49212,357.6453488,
,4,3,,33615,244.2950581,
,5,1,,38964,283.1686047,
,5,2,,45833,333.0886628,
,5,3,,33733,245.1526163,
,6,1,,35803,260.1962209,
,6,2,,35535,258.2485465,
,6,3,,33896,246.3372093,
,7,1,,38772,281.7732558,
,7,2,,30956,224.9709302,
,7,3,,27495,199.818314,
,8,1,,53205,386.6642442,
,8,2,,55693,404.7456395,
,8,3,,46471,337.7252907,
,9,1,,39277,285.443314,
,9,2,,41299,300.1380814,
,9,3,,32438,235.7412791,
,10,1,,27775,201.8531977,
,10,2,,28207,204.9927326,
,10,3,,12580,91.4244186,
ACHMIL,1,1,,5845,42.47819767,
,1,2,,8449,61.40261628,
,1,3,,10689,77.68168605,
,2,1,,7870,57.19476744,
,2,2,,8224,59.76744186,
,2,3,,14791,107.4927326,
,3,1,,5665,41.17005814,
,3,2,,6143,44.64389535,
,3,3,,10136,73.6627907,
,4,1,,3981,28.93168605,
,4,2,,4841,35.18168605,
,4,3,,10078,73.24127907,
,5,1,,8966,65.15988372,
,5,2,,9063,65.86482558,
,5,3,,13514,98.2122093,
,6,1,,10746,78.09593023,
,6,2,,12049,87.56540698,
,6,3,,26086,189.5784884,
,7,1,,10377,75.41424419,
,7,2,,9319,67.7252907,
,7,3,,10672,77.55813953,
,8,1,,6415,46.62063953,
,8,2,,8236,59.85465116,
,8,3,,12287,89.29505814,
,9,1,,13368,97.15116279,
,9,2,,13136,95.46511628,
,9,3,,18299,132.9869186,
,10,1,,8344,60.63953488,
,10,2,,7048,51.22093023,
,10,3,,7930,57.63081395,
LEUVUL,1,1,,13682,99.43313953,
,1,2,,13231,96.15552326,
,1,3,,11664,84.76744186,
,2,1,,17278,125.5668605,
,2,2,,18484,134.3313953,
,2,3,,16836,122.3546512,
,3,1,,7946,57.74709302,
,3,2,,8418,61.17732558,
,3,3,,5333,38.75726744,
,4,1,,16517,120.0363372,
,4,2,,16823,122.2601744,
,4,3,,15833,115.065407,
,5,1,,13135,95.45784884,
,5,2,,12090,87.86337209,
,5,3,,15600,113.372093,
,6,1,,20600,149.7093023,
,6,2,,17356,126.1337209,
,6,3,,15801,114.8328488,
,7,1,,10925,79.39680233,
,7,2,,10247,74.46947674,
,7,3,,9541,69.33866279,
,8,1,,12391,90.05087209,
,8,2,,10328,75.05813953,
,8,3,,9099,66.12645349,
,9,1,,11154,81.06104651,
,9,2,,13687,99.46947674,
,9,3,,7024,51.04651163,
,10,1,,9588,69.68023256,
,10,2,,10980,79.79651163,
,10,3,,6926,50.33430233,
CRECAP,1,1,,19379,140.8357558,
,1,2,,19448,141.3372093,
,1,3,,16289,118.3793605,
,2,1,,18461,134.1642442,
,2,2,,16374,118.997093,
,2,3,,22142,160.9156977,
,3,1,,14930,108.502907,
,3,2,,17563,127.6380814,
,3,3,,12878,93.59011628,
,4,1,,18962,137.8052326,
,4,2,,21011,152.6962209,
,4,3,,15692,114.0406977,
,5,1,,15053,109.3968023,
,5,2,,14191,103.1322674,
,5,3,,13061,94.92005814,
,6,1,,15154,110.130814,
,6,2,,11380,82.70348837,
,6,3,,14919,108.4229651,
,7,1,,15608,113.4302326,
,7,2,,12432,90.34883721,
,7,3,,16665,121.1119186,
,8,1,,15118,109.869186,
,8,2,,14229,103.4084302,
,8,3,,19227,139.7311047,
,9,1,,13856,100.6976744,
,9,2,,25159,182.8415698,
,9,3,,18084,131.4244186,
,10,1,,13487,98.01598837,
,10,2,,16374,118.997093,
,10,3,,14136,102.7325581,
LOLPER,1,1,,28713,208.6700581,top to bottom
,1,2,,31293,227.4200581,
,1,3,,13675,99.38226744,
,2,1,,31391,228.1322674,
,2,2,,13087,95.10901163,
,2,3,,167767,1219.236919,
,3,1,,12396,90.0872093,
,3,2,,36810,267.5145349,
,3,3,,26626,193.502907,
,4,1,,20853,151.5479651,
,4,2,,41125,298.8735465,
,4,3,,23158,168.2994186,
,5,1,,16609,120.7049419,
,5,2,,37144,269.9418605,
,5,3,,27475,199.6729651,
,6,1,,21239,154.3531977,
,6,2,,50059,363.8008721,
,6,3,,26604,193.3430233,
,7,1,,8451,61.41715116,
,7,2,,21273,154.6002907,
,7,3,,21194,154.0261628,
,8,1,,12820,93.16860465,
,8,2,,34360,249.7093023,
,8,3,,28961,210.4723837,
,9,1,,10895,79.17877907,
,9,2,,28898,210.0145349,
,9,3,,35012,254.4476744,
,10,1,,17248,125.3488372,
,10,2,,39556,287.4709302,
,10,3,,33558,243.880814,
PRUVUL,1,1,,26023,189.1206395,"same as above, center right left"
,1,2,,27314,198.502907,"starting top right, then left back and forth"
,1,3,,11402,82.86337209,
,2,1,,35966,261.380814,
,2,2,,33911,246.4462209,
,2,3,,22591,164.1787791,
,3,1,,30583,222.2601744,
,3,2,,35110,255.1598837,
,3,3,,20510,149.0552326,
,4,1,,22808,165.755814,
,4,2,,17803,129.3822674,
,4,3,,27481,199.7165698,
,5,1,,46602,338.6773256,
,5,2,,45176,328.3139535,
,5,3,,34726,252.369186,
,6,1,,35586,258.619186,
,6,2,,15973,116.0828488,
,6,3,,32662,237.369186,
,7,1,,44703,324.8764535,
,7,2,,47251,343.3938953,
,7,3,,8923,64.84738372,
,8,1,,40085,291.315407,
,8,2,,20696,150.4069767,
,8,3,,40561,294.7747093,
,9,1,,20789,151.0828488,
,9,2,,21707,157.7543605,
,9,3,,19991,145.2834302,
,10,1,,31892,231.7732558,this one #3 is on the right
,10,2,,28909,210.0944767,
,10,3,,3826,27.80523256,
RANACR,1,1,,36795,267.4055233,center-right-left
,1,2,,47056,341.9767442,
,1,3,,25055,182.0857558,
,2,1,,31960,232.2674419,
,2,2,,43926,319.2296512,
,2,3,,29369,213.4375,
,3,1,,51936,377.4418605,
,3,2,,40095,291.3880814,
,3,3,,29457,214.0770349,
,4,1,,70944,515.5813953,
,4,2,,61190,444.6947674,
,4,3,,29577,214.9491279,
,5,1,,16100,117.005814,
,5,2,,26985,196.1119186,
,5,3,,11615,84.41133721,
,6,1,,45484,330.5523256,
,6,2,,21650,157.3401163,
,6,3,,32924,239.2732558,
,7,1,,,0,
,7,2,,,0,
,7,3,,,0,
,8,1,,,0,
,8,2,,,0,
,8,3,,,0,
,9,1,,,0,
,9,2,,,0,
,9,3,,,0,
,10,1,,,0,
,10,2,,,0,
,10,3,,,0,
SCAOCH,1,1,,30819,223.9752907,center-right-left
,1,2,,30153,219.1351744,starting with top right plant
,1,3,,21831,158.6555233,
,2,1,,20498,148.9680233,
,2,2,,20980,152.4709302,
,2,3,,16773,121.8968023,
,3,1,,21377,155.3561047,
,3,2,,35493,257.943314,
,3,3,,21983,159.7601744,
,4,1,,30413,221.0247093,
,4,2,,29961,217.7398256,
,4,3,,20150,146.4389535,
,5,1,,24427,177.5218023,
,5,2,,25467,185.0799419,
,5,3,,22138,160.8866279,
,6,1,,41116,298.8081395,
,6,2,,36882,268.0377907,
,6,3,,24305,176.6351744,
,7,1,,22146,160.9447674,
,7,2,,23048,167.5,
,7,3,,19379,140.8357558,
,8,1,,23549,171.1409884,
